seqname trgroup start_5prime stop_5prime trlength seqlength trprop start_3prime stop_3prime
000329bc-d1c5-41e0-b788-33edb403e025 0 0 0 0 526 0 0 0
00058de9-6fa2-4997-8dcc-f127fb4919fd 0 0 0 0 2372 0 0 0
0005c83e-0e71-43e0-b1fc-7e76513ba182 0 0 0 0 647 0 0 0
000aadcb-5592-4c2f-ac6f-58cc38db29b9 0 0 0 0 3465 0 0 0
000ab28b-db24-4ee5-83d2-10d8fcd7a5e4 1 192 442 250 484 51.65 -43 -293
000ceda9-b66a-430c-9d0e-213c598e62c2 1 1445 1742 297 1793 16.56 -52 -349
000f9e01-abbb-4e97-99e1-2b7ef8cd862c 0 0 0 0 1739 0 0 0
0010bd89-2875-4da9-ac68-630723a64513 1 29 375 346 688 50.29 -314 -660
0010bd89-2875-4da9-ac68-630723a64513 2 454 627 173 688 25.15 -62 -235
001145e3-2765-454d-b4cc-47b2055d1298 0 0 0 0 550 0 0 0
001386f1-af1c-4a31-af0a-89f137a86ad4 0 0 0 0 490 0 0 0
0018a571-bd9c-4cce-9caf-267c782a4a49 1 31 291 260 2228 11.67 -1938 -2198
0018a571-bd9c-4cce-9caf-267c782a4a49 2 330 877 547 2228 24.55 -1352 -1899
0018a571-bd9c-4cce-9caf-267c782a4a49 3 978 1069 91 2228 4.08 -1160 -1251
0018a571-bd9c-4cce-9caf-267c782a4a49 4 1108 1167 59 2228 2.65 -1062 -1121
0018a571-bd9c-4cce-9caf-267c782a4a49 5 1320 2215 895 2228 40.17 -14 -909
0018e298-75a3-42ad-b3e9-8d3bedc0b1bd 0 0 0 0 250 0 0 0
001a67d3-98a5-48de-9735-88076486e2fe 1 254 300 46 1009 4.56 -710 -756
001a67d3-98a5-48de-9735-88076486e2fe 2 809 958 149 1009 14.77 -52 -201
001ba389-6075-4f5f-ab42-4d8cdb11d700 1 69 424 355 896 39.62 -473 -828
001ba389-6075-4f5f-ab42-4d8cdb11d700 2 529 843 314 896 35.04 -54 -368
001bfab8-4ead-4ab2-b657-27bab10c1c4e 0 0 0 0 3553 0 0 0
002440b2-1c7d-4941-96ac-ab0e4c83f456 1 53 866 813 866 93.88 -1 -814
0025f2b2-1c92-475a-99b6-ff61eb62567e 0 0 0 0 3618 0 0 0
00260c38-4e32-40e1-aa01-0b9cd82d22d2 0 0 0 0 231 0 0 0
00282b56-cba5-4a66-a5ba-9a9caa6f2efa 1 27 1053 1026 1061 96.7 -9 -1035
002a544f-5090-4ca5-b273-16bfe406ff6b 1 120 303 183 644 28.42 -342 -525
002a544f-5090-4ca5-b273-16bfe406ff6b 2 331 548 217 644 33.7 -97 -314
002f4b23-b4a9-468f-8698-357cfb5e66e2 0 0 0 0 349 0 0 0
