seqname	trgroup	trlength	seqlength	trprop	start_5prime	stop_5prime	start_3prime	stop_3prime
000ab28b-db24-4ee5-83d2-10d8fcd7a5e4	1	250	484	51.65	192	442	-43	-293
000ceda9-b66a-430c-9d0e-213c598e62c2	1	297	1793	16.56	1445	1742	-52	-349
0010bd89-2875-4da9-ac68-630723a64513	1	346	688	50.29	29	375	-314	-660
0010bd89-2875-4da9-ac68-630723a64513	2	173	688	25.15	454	627	-62	-235
0018a571-bd9c-4cce-9caf-267c782a4a49	1	260	2228	11.67	31	291	-1938	-2198
0018a571-bd9c-4cce-9caf-267c782a4a49	2	547	2228	24.55	330	877	-1352	-1899
0018a571-bd9c-4cce-9caf-267c782a4a49	3	91	2228	4.08	978	1069	-1160	-1251
0018a571-bd9c-4cce-9caf-267c782a4a49	4	59	2228	2.65	1108	1167	-1062	-1121
0018a571-bd9c-4cce-9caf-267c782a4a49	5	895	2228	40.17	1320	2215	-14	-909
001a67d3-98a5-48de-9735-88076486e2fe	1	46	1009	4.56	254	300	-710	-756
001a67d3-98a5-48de-9735-88076486e2fe	2	149	1009	14.77	809	958	-52	-201
001ba389-6075-4f5f-ab42-4d8cdb11d700	1	355	896	39.62	69	424	-473	-828
001ba389-6075-4f5f-ab42-4d8cdb11d700	2	314	896	35.04	529	843	-54	-368
002440b2-1c7d-4941-96ac-ab0e4c83f456	1	813	866	93.88	53	866	-1	-814
00282b56-cba5-4a66-a5ba-9a9caa6f2efa	1	1026	1061	96.70	27	1053	-9	-1035
002a544f-5090-4ca5-b273-16bfe406ff6b	1	183	644	28.42	120	303	-342	-525
002a544f-5090-4ca5-b273-16bfe406ff6b	2	217	644	33.70	331	548	-97	-314
0038f190-8e67-44fa-8601-b55e222b5220	1	285	428	66.59	55	340	-89	-374
0044a817-672a-47ee-b31d-4029643e1ea0	1	222	338	65.68	83	305	-34	-256
0047c2bd-1091-4494-b455-4884decd36e1	1	235	433	54.27	25	260	-174	-409
005215c6-7397-47de-ad88-88de913ca501	1	197	587	33.56	170	367	-221	-418
00559aab-9e51-4a38-bb3c-fdde36c9de0b	1	347	436	79.59	60	407	-30	-377
00563d4b-82cb-4576-9cf9-a16c72d8b9b6	1	257	952	27.00	114	371	-582	-839
00563d4b-82cb-4576-9cf9-a16c72d8b9b6	2	193	952	20.27	463	656	-297	-490
005a0c1f-875d-4f93-bd3f-cfdb173d6f4d	1	358	1364	26.25	24	382	-983	-1341
005a0c1f-875d-4f93-bd3f-cfdb173d6f4d	2	78	1364	5.72	549	627	-738	-816
005e0710-04db-46b8-bf5a-f80c9e7d309d	1	473	1126	42.01	66	539	-588	-1061
005e0710-04db-46b8-bf5a-f80c9e7d309d	2	469	1126	41.65	655	1124	-3	-472
0060b736-bb7e-419b-92bb-840a2dba12df	1	440	2140	20.56	337	777	-1364	-1804
0060b736-bb7e-419b-92bb-840a2dba12df	2	136	2140	6.36	935	1071	-1070	-1206
0060b736-bb7e-419b-92bb-840a2dba12df	3	423	2140	19.77	1140	1563	-578	-1001
0060b736-bb7e-419b-92bb-840a2dba12df	4	494	2140	23.08	1644	2138	-3	-497
00643982-40eb-4576-984a-0f9e013e7c8d	1	651	3644	17.86	62	713	-2932	-3583
00643982-40eb-4576-984a-0f9e013e7c8d	2	323	3644	8.86	3309	3632	-13	-336
0068e263-5225-4ab6-a92b-8ade1c9011fc	1	138	1029	13.41	70	208	-822	-960
006d2f7d-aee8-4d20-b232-e65505119f25	1	75	17078	0.44	390	465	-16614	-16689
006e23a3-8b6e-4175-a5ae-4e43bc5da915	1	668	704	94.89	28	696	-9	-677
