seqname	ntrgroup	trlength	seqlength	trprop
000ab28b-db24-4ee5-83d2-10d8fcd7a5e4	1	250	484	51.65
000ceda9-b66a-430c-9d0e-213c598e62c2	1	297	1793	16.56
0010bd89-2875-4da9-ac68-630723a64513	2	519	688	75.44
0018a571-bd9c-4cce-9caf-267c782a4a49	5	1852	2228	83.12
001a67d3-98a5-48de-9735-88076486e2fe	2	195	1009	19.33
001ba389-6075-4f5f-ab42-4d8cdb11d700	2	669	896	74.67
002440b2-1c7d-4941-96ac-ab0e4c83f456	1	813	866	93.88
00282b56-cba5-4a66-a5ba-9a9caa6f2efa	1	1026	1061	96.70
002a544f-5090-4ca5-b273-16bfe406ff6b	2	400	644	62.11
0038f190-8e67-44fa-8601-b55e222b5220	1	285	428	66.59
0044a817-672a-47ee-b31d-4029643e1ea0	1	222	338	65.68
0047c2bd-1091-4494-b455-4884decd36e1	1	235	433	54.27
005215c6-7397-47de-ad88-88de913ca501	1	197	587	33.56
00559aab-9e51-4a38-bb3c-fdde36c9de0b	1	347	436	79.59
00563d4b-82cb-4576-9cf9-a16c72d8b9b6	2	450	952	47.27
005a0c1f-875d-4f93-bd3f-cfdb173d6f4d	2	436	1364	31.96
005e0710-04db-46b8-bf5a-f80c9e7d309d	2	942	1126	83.66
0060b736-bb7e-419b-92bb-840a2dba12df	4	1493	2140	69.77
00643982-40eb-4576-984a-0f9e013e7c8d	2	974	3644	26.73
0068e263-5225-4ab6-a92b-8ade1c9011fc	1	138	1029	13.41
006d2f7d-aee8-4d20-b232-e65505119f25	1	75	17078	0.44
006e23a3-8b6e-4175-a5ae-4e43bc5da915	1	668	704	94.89
0070840a-e72c-4271-bba4-218bf9e747dc	6	561	1545	36.31
00786ae3-cc39-447a-a269-0fbda0c2b988	1	588	702	83.76
007c8d4f-4b04-4c3b-a8d5-db9309e5a033	2	344	579	59.41
0081dd02-32d9-46cc-9fab-333e032ed941	1	507	3059	16.57
00868488-1073-4481-9108-0339a0baedec	1	149	1462	10.19
008f19f2-9b72-4c13-9d33-0343bea76212	1	191	940	20.32
0093238b-2459-4ebb-a271-49e969c4c63a	2	73	6623	1.10
009dbce0-40d7-461e-bd16-17b83b92f5a6	1	175	394	44.42
00a0f939-527e-4496-bd2b-020eb5f47f3b	1	153	1931	7.92
00a3d9e2-aefa-40ef-9766-8738205e7b40	2	791	1205	65.64
00ae3bd0-b746-4c9e-8522-bc395bd431a1	1	722	747	96.65
00bd3557-8ebd-480e-aa62-603d4136f973	1	152	1055	14.41
00bdde2d-86bd-4a4f-b640-9e4539627b57	2	237	1452	16.32
00c43327-9709-4fec-988f-cf0ecc22d35c	1	248	328	75.61
00c9032f-aa02-4e01-ac17-89311bbc22ee	1	243	653	37.21
00c9a350-54d6-4a39-9287-7fbb3a4c78ed	1	195	298	65.44
00cb2294-8fbd-47f3-91b4-90907269d1c8	1	408	483	84.47
00da7c96-6d09-4eba-97f7-d4ce297019ef	2	197	598	32.94
00df6c14-408d-471b-a061-5a86fc80e3ec	2	453	600	75.50
00e22182-ef45-48ae-ad68-38550ff07516	1	31	1752	1.77
00effbe2-8ebd-4ac0-be37-122d11d3560e	2	498	882	56.46
00f7a45b-1758-4137-bf26-1ed4646b2ce9	1	272	3093	8.79
00fa4cf9-56f9-4bb7-bf75-4ed596dcc99a	1	30	5712	0.53
00fbe751-673b-4265-ba22-8fac21ae78d3	1	569	4665	12.20
00ffe3cb-6ed9-416c-a91a-9fb35c0658ef	1	278	400	69.50
010743af-5a94-4916-9478-c558aeb9e628	1	334	1192	28.02
010d98b4-7c81-49d0-9cf7-955706cd8732	1	294	714	41.18
010f3bb8-22db-4224-a52c-d04cf0400727	1	751	775	96.90
0113d034-5cd3-4d4c-8508-eda52ba8ada0	1	455	572	79.55
0118f03d-9234-46fa-b048-acc04d4cc981	2	1262	1450	87.03
0126cf15-a31c-4c31-981f-f20f6817a565	2	237	6029	3.93
012ad3e0-4042-4f33-bd4d-7d0eeb8df4e7	2	971	1351	71.87
0136c071-55f5-4895-823a-b33187d5d43a	1	138	952	14.50
013ae1c8-35d8-4caa-b2e1-5d4471156b62	2	1102	1134	97.18
013bd156-1d89-4865-93f0-2b920ef306c0	1	32	1652	1.94
01447ef1-0019-40f9-bff6-707aa097e38d	1	166	292	56.85
0144d13a-d59d-4468-aa59-ceed9d841804	1	259	264	98.11
014ba465-6676-4b51-9f13-b9e9fb91d6ad	2	1125	5889	19.10
0157067b-9f03-40ef-9690-87fe73e21200	1	325	516	62.98
01608d8d-cac0-4b10-9f39-8ab9d20c6825	1	198	1068	18.54
016d7962-c9fe-48e9-95f2-28a00cd11ca1	1	357	2325	15.35
01728762-f092-45fd-a62a-aa3e7ffc9c92	2	54	875	6.17
0179b75e-6181-4fbb-86c8-1ec2a4cd20e6	3	1017	1446	70.33
017aff3a-96ae-4d69-b6b9-73defdbd9a67	1	90	366	24.59
017cc117-ffa1-412c-b12b-506817bba4e5	1	808	846	95.51
01885c97-829c-44fb-9586-fe0f00d470a0	1	353	2918	12.10
0190978e-43b9-471e-94e1-cd3d25fd34a2	3	1832	2338	78.36
0191992d-cfdf-4037-9c66-271ea90cad2c	1	410	672	61.01
01951688-44eb-4bf7-aa3e-10446f7769b2	1	45	835	5.39
0199db32-c9f3-4ec8-a1d7-791f8e73f9e5	1	139	1036	13.42
01a8534d-42e0-4a6d-a249-7a25200b7109	1	382	1739	21.97
01b1ab93-37fe-4899-80e0-30a40f7effb9	3	544	741	73.41
01becc6a-e826-4762-94bc-a9f9bc599376	1	175	1031	16.97
01c1c5c6-7569-45f2-87ad-b534c25b4c38	2	773	954	81.03
01cd62c0-c09b-47f5-8fb0-31ec2add9113	1	143	1718	8.32
01d3649c-819b-480d-81b1-a27b52078e77	1	140	356	39.33
01d4accd-420d-477c-8927-86d2bd22e53b	1	473	543	87.11
01d74007-d5a9-4544-8e75-4367f4159738	1	951	994	95.67
01da5fd0-6279-4e41-bd92-eb560bc07425	2	500	580	86.21
01dffc49-3335-4fc5-9f5c-eb14e7815440	1	409	771	53.05
01e410e0-e2e1-4726-81d7-3214d40b460a	1	435	666	65.32
01ea48d9-5516-4bd8-a845-0ca4d85b9c50	1	147	373	39.41
01fb0f67-c34a-49e4-93dd-fb697bc7a71d	1	31	1735	1.79
02009748-2ae1-4247-8a6e-d4e4b3e5ef26	1	370	6180	5.99
0203b8c9-52ac-4980-a5d8-2f7c5ca8e4fb	1	524	1605	32.65
0204cb05-63fc-434d-b14e-2351e60baff7	1	100	245	40.82
020919cf-5e06-42a9-920f-38ff0ebaa73a	2	287	320	89.69
0209ee9f-89a3-4548-8850-c0738d5082c2	1	175	6643	2.63
021cb560-4272-4cb8-8136-e3e8b4996ca5	1	336	417	80.58
021dc6cb-60e7-476b-8547-b3bea6d9c820	2	473	691	68.45
022018da-b436-4591-b849-9bc30d809e78	1	749	954	78.51
02204cd1-c010-4282-9095-73b247e63385	1	288	1996	14.43
02283f6d-8037-46bc-a2e4-0bb53307f069	4	348	424	82.08
0233d5c1-f309-4ae9-99b3-a646610c7fd5	2	868	1042	83.30
0237df97-5cff-48cb-b95f-d987d3695a9c	1	39	1631	2.39
0239c570-63da-4f14-8be9-c677defa12bb	5	1119	1897	58.99
023d98fa-1553-4211-ae95-20b05b545efd	1	351	532	65.98
0243c2d2-db98-47c7-8577-18977f212400	2	410	4557	9.00
